,FBXO22,AURKC,AKAP7,CCDC158,ZBTB39,CNV_Xq11.2 ,CNV_17q24.3,CNV_7q36.3 ,CNV_3p21.32 ,CNV_14q31.1 ,CNV_3q26.32,CNV_8p23.2  ,CNV_3p,CNV_1q43    ,CNV_Xq23    ,CNV_4q34.3  ,CNV_8q24.22,CNV_1q24.1 ,CNV_2q37.3  ,CNV_9p21.3  ,CNV_13q13.3 ,CNV_6q26    ,CNV_Xp22.2 ,CNV_1q32.1 ,CNV_3p25.3  ,CNV_5q35.1 ,CNV_1p36.23 ,CNV_1p31.1  ,CNV_10p14  ,CNV_4q32.1 ,CNV_10q23.31,CNV_9p23    ,CNV_3p12.2  ,CNV_3q11.2  ,CNV_Xp11.4 
TCGA-CZ-5465,460.44,23.93,241.19,4.28,59.13,-0.15388,-0.23214,0.07484,-0.79723,-0.19782,0.34323,-0.79622,-0.444,0.0,-0.15388,-0.49684,0.34954,0.0,0.068378,-0.22527,-0.20492,-0.473,-0.15388,0.0,-0.79723,0.085654,0.0,0.0,-0.54784,-0.50095,-0.54677,-0.22527,-0.7869,0.34323,-0.15388
TCGA-CW-5591,647.07,29.27,279.14,19.39,65.72,0.21004,0.0,0.44698,-0.50256,-0.0083101,0.46092,0.86195,-0.075,-0.0088526,0.21004,-0.021373,0.86195,-0.0088526,0.64983,-0.0033243,-0.033038,-0.019589,0.22581,-0.0088526,-0.50256,1.3452,0.0066653,-0.51651,-0.0096806,-0.028345,-0.011453,-0.49057,-0.4661,0.46092,0.21004
TCGA-B0-5694,483.38,31.9,154.42,3.92,43.94,-0.010633,0.014063,0.53362,-0.59429,-0.16357,0.0023581,0.0012481,-0.594,0.0072217,-0.010633,-0.011029,-0.0040162,0.0072217,-0.0073339,-0.58508,-0.0013858,-0.0019399,-0.010633,0.0072217,-0.60592,0.54983,0.0072217,0.0072217,-0.0042929,-0.011029,0.0,-0.60011,-0.60033,0.0023581,-0.010633
TCGA-B2-5641,733.19,17.77,159.9,29.7,56.28,-0.089093,-0.011611,0.00013863,-0.43724,-0.44067,0.011958,0.0076392,-0.433,-0.0019399,-0.089093,0.008892,0.0076392,-0.0019399,-0.44178,-0.21342,0.010146,-0.44386,-0.089093,-0.0019399,-0.43724,0.44545,-0.17674,-0.0019399,-0.22145,0.008892,-0.22145,-0.21342,-0.43982,-0.43982,-0.089093
TCGA-CZ-5455,674.59,24.46,366.09,96.68,51.35,-0.036327,-0.0076101,-0.005814,-0.5244,-0.51818,0.026092,0.022164,-0.524,0.00056805,-0.036327,-0.0044741,0.022164,0.0041632,0.012795,-0.0020039,-0.50484,0.0056919,-0.036327,0.00056805,-0.5244,0.52072,-0.0099728,-0.0099728,-0.0056757,-0.0044741,-0.0056757,0.012716,0.026092,0.026092,-0.036327
TCGA-CZ-5462,830.75,25.17,153.34,2.05,22.43,-0.066654,0.011958,-0.0069195,-0.43485,-0.42778,0.002737,-0.43994,-0.435,0.011679,-0.066654,0.0033299,0.42889,0.011679,0.0011689,-0.42003,-0.022881,-0.44063,-0.066654,0.011679,-0.86381,0.85442,-0.41391,-0.42364,-0.0033243,0.0033299,-0.0033243,-0.43301,-0.43485,-0.43485,-0.066654
TCGA-CZ-5463,679.29,16.88,336.79,100.13,41.52,-0.089434,-0.017803,-0.0015243,-0.7089,-0.72093,-0.7089,-0.73746,-0.709,0.0,-0.089434,0.012376,-0.7188,0.0,0.01419,0.004719,0.0086135,0.0039359,-0.10643,0.0,-0.7089,0.72319,0.0,0.0,-0.031632,0.012376,-0.031632,0.004719,-0.7089,-0.7089,-0.089434
TCGA-CW-6088,536.45,18.56,376.41,31.67,77.79,-0.069642,-0.03031,0.023101,-0.52587,-0.0036447,0.010241,-0.52566,-0.526,0.0,-0.069642,0.014565,-0.52566,0.0,0.0046752,-0.0028143,0.0088482,0.003425,-0.069642,0.0,-0.52587,0.011077,-0.012481,-0.012481,-0.0033679,0.014565,-0.0033679,-0.0028143,-0.52587,-0.52587,-0.069642
TCGA-CJ-5679,866.07,12.0,143.01,2.46,35.76,-0.033132,-0.023292,1.3464,-0.46323,-0.47205,-0.46323,-0.17619,-0.463,0.47255,-0.033132,-0.28917,-0.17904,0.48548,0.0020805,-0.47702,-0.466,-0.48256,-0.033132,0.48548,-0.46323,0.82213,-0.48292,-0.48292,0.0,-0.33283,0.0015655,-1.0155,-0.46323,-0.46323,-0.033132
TCGA-CW-5589,536.45,23.93,224.97,6.31,50.27,0.018383,-0.014521,0.0027745,-0.60298,-0.03286,0.011958,0.00055459,-0.599,0.0022193,0.018383,0.0034163,0.00055459,0.58345,-0.0031859,0.004719,0.0,0.0075126,0.018383,0.0022193,-0.59944,0.60967,-0.0020784,-0.0020784,0.0022193,0.0062481,0.0018393,0.004719,-0.58843,0.011958,0.018383
TCGA-B0-5709,493.56,19.82,260.38,7.46,58.3,-0.0273,0.0070431,-0.0069587,-0.32766,0.0016371,0.0014861,0.0013474,-0.263,0.0020411,-0.0273,-0.24084,0.0013474,0.0020411,0.0027351,-0.00059379,-0.0010768,-0.0026715,-0.0273,0.0020411,-0.32766,0.24068,-0.32104,0.0016704,-0.0080636,-0.24084,-0.0083397,-0.00059379,-0.32766,-0.0043185,-0.0273
TCGA-B0-5690,420.68,22.43,183.82,17.64,92.05,0.0084743,-0.00069303,-0.0073006,-0.4786,0.0016642,0.45461,0.013492,-0.471,0.00041593,0.0084743,-0.006505,-0.00075879,0.00041593,0.0,0.003191,0.44179,0.00083792,0.0084743,0.00041593,-0.48481,-0.0023553,0.00041593,0.00041593,-0.010646,-0.006505,-0.010646,0.003191,-0.0071958,-0.0071958,0.0084743
TCGA-B0-5706,728.11,36.79,161.02,32.82,33.54,-0.029277,-0.0094046,-0.0030475,-0.41476,-0.0020784,0.0065262,0.0011093,-0.414,0.0037465,-0.029277,0.0037465,0.0011093,0.39961,0.0,-0.00069303,0.0024969,0.0051488,-0.029277,0.0037465,-0.41476,-0.0012473,0.00041593,0.00041593,-0.010646,0.0037465,-0.42931,-0.00069303,-0.41531,-0.41531,-0.029277
TCGA-CZ-5453,587.13,12.93,264.03,3.29,47.84,-0.078416,-0.032319,0.0055477,-0.7853,0.0,0.029742,-0.78951,-0.785,-0.0092718,-0.078416,0.02314,0.012371,-0.0092718,-0.78606,-0.016572,0.019357,0.003047,-0.088909,-0.0092718,-0.7853,0.25698,-0.0092718,-0.0092718,-0.0083056,0.02314,-0.0083056,-0.016572,-0.7853,-0.7853,-0.078416
TCGA-CW-6090,825.0,18.16,209.84,3.35,34.02,-0.1517,-0.022463,0.012795,-0.6749,-0.67304,-0.29945,-0.32794,-0.653,0.34219,-0.1517,-0.29922,-0.31307,0.33304,-0.31213,-0.32089,-0.30956,0.025671,-0.1517,0.34795,-0.6749,0.03637,-0.326,-0.326,-0.324,-0.29922,-0.321,-0.32089,-0.29945,-0.29945,-0.1517
TCGA-CJ-6030,728.11,35.76,339.14,4.7,33.3,-0.098945,0.008892,0.066372,-0.5162,-0.49996,0.010146,-0.45329,-0.516,0.020012,-0.098945,0.0070595,-0.3943,0.020012,-0.022258,-0.49225,-0.014599,-0.0016724,-0.098945,0.020012,-0.5162,0.053237,-0.51342,0.020012,-0.0066432,0.0070595,0.0,-0.49225,-0.5162,0.010146,-0.098945
TCGA-CZ-5986,733.19,27.05,228.13,1.06,69.52,-0.063874,-0.021921,0.0090312,-0.64543,-0.0049844,-0.63821,-0.70076,-0.645,0.0,-0.063874,0.016705,-0.6565,0.0,0.00597,-0.0053992,0.0081959,0.012516,-0.10224,0.0,-0.66012,0.65057,0.0,0.0,-0.0011087,0.016705,-0.0011087,-0.0053992,-0.64543,-0.64543,-0.063874
TCGA-B0-5705,532.74,17.13,155.5,6.89,48.87,-0.1067,0.014051,-0.011887,-0.62245,0.0015255,0.0,-0.019285,0.0,0.0055529,-0.1067,-0.014046,-0.007472,0.0055529,-0.0032749,0.002015,-0.0080244,-0.0030475,-0.1067,0.0055529,-0.64924,0.6257,0.0055529,0.0055529,-0.01243,-0.014046,-0.0024938,-0.0074073,0.0,0.0,-0.1067
